Date,Cumulative_Cases_by_Episode_Date,Cumulative_Resolved_Cases_by_Episode_Date,Total_Active_Cases_by_Date,Cumulative_Deaths_by_Date_of_Death,Daily_Cases_by_Reported_Date,7-day_Average_of_Newly_Reported_cases_by_Reported_Date,Daily_Cases_by_Episode_Date,Daily_Cases_Linked_to_a_Community_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_a_School_or_Childcare_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_an_Institutional_Outbreak_by_Episode_Date,Daily_Cases_Not_Linked_to_an_Outbreak_ie_Sporadic_Cases_by_Episode_Date,Cases_Newly_Admitted_to_Hospital,Cases_Currently_in_Hospital,Cases_Currently_in_ICU,"Cumulative_Rate_for_0-9_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_10-19_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_20-29_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_30-39_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_40-49_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_50-59_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_60-69_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_70-79_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_80-89_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_90_Years_and_Over_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Males_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Females_per_100,000_pop_by_Episode_Date",Source_of_Infection_is_a_Close_Contact_by_Episode_Date,Source_of_Infection_is_an_Outbreak_by_Episode_Date,Source_of_Infection_is_Travel_by_Episode_Date,Number_of_Cases_with_Missing_Information_for_Source_of_Infection_by_Episode_Date,Number_of_Cases_with_No_Known_Epidemiological_Link_by_Episode_Date,%_No_Known_Epidemiological_Link_by_Episode_Date_-_14_Day_Average,OBJECTID
2020/02/10,1,,1,,,0,1,0,0,0,1,0,1,0,,,,,,,0.8,,,,,0.2,0,0,1,0,0,0,0
2020/02/11,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,1
2020/02/12,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,2
2020/02/13,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,3
2020/02/14,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,4
2020/02/15,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,5
2020/02/16,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,6
2020/02/17,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,7
2020/02/18,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,8
2020/02/19,1,,1,,,0,,0,0,0,,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,0,9
2020/02/20,2,,2,,,0,1,0,0,0,1,0,1,0,,,,,,0.7,0.8,,,,0.2,0.2,0,0,1,0,0,0,10
2020/02/21,2,,2,,,0,,0,0,0,,0,1,0,,,,,,0.7,0.8,,,,0.2,0.2,0,0,0,0,0,0,11
2020/02/22,3,,3,,,0,1,0,0,0,1,0,1,0,,,,,,1.4,0.8,,,,0.4,0.2,0,0,0,0,1,33.3,12
2020/02/23,4,,4,,,0,1,0,0,0,1,0,1,0,,,,,,1.4,1.7,,,,0.4,0.4,0,0,1,0,0,25,13
2020/02/24,5,,5,,,0,1,0,0,0,1,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,1,0,0,25,14
