Date,1^ALEX,2^ORPY,3^COBY,5^LMET,8^SOMO,10^OGLD,11 OBVW,12a^ADAWE,12b^ADAWE
Mon 1 Jan 2018,7,12,4,26,0,83,5,37,390
Tue 2 Jan 2018,55,9,37,153,2,104,5,87,491
Wed 3 Jan 2018,100,12,67,242,36,66,8,134,609
Thu 4 Jan 2018,112,10,51,300,18,64,6,131,561
Fri 5 Jan 2018,46,1,37,158,2,27,2,65,295
Sat 6 Jan 2018,5,4,10,41,0,6,1,32,261
Sun 7 Jan 2018,4,10,15,32,0,7,1,45,424
Mon 8 Jan 2018,4,10,54,187,6,40,7,108,940
Tue 9 Jan 2018,3,9,96,320,14,79,2,183,970
Wed 10 Jan 2018,0,12,97,320,8,108,4,173,930
Thu 11 Jan 2018,0,4,96,280,24,60,4,166,830
Fri 12 Jan 2018,30,0,88,262,218,204,2,134,550
Sat 13 Jan 2018,0,2,8,61,4,691,1,55,214
Sun 14 Jan 2018,1,14,14,50,4,10,11,53,539
Mon 15 Jan 2018,0,5,87,239,34,75,11,139,695
Tue 16 Jan 2018,0,14,117,295,0,68,12,146,885
Wed 17 Jan 2018,0,10,121,290,46,70,11,188,931
Thu 18 Jan 2018,0,14,114,331,42,90,17,177,941
Fri 19 Jan 2018,0,21,78,285,50,82,17,150,849
Sat 20 Jan 2018,1,26,41,108,24,23,7,126,962
Sun 21 Jan 2018,0,8,27,86,40,27,1,106,889
Mon 22 Jan 2018,6,12,98,298,18,64,9,134,734
Tue 23 Jan 2018,2,1,51,185,20,42,3,87,740
Wed 24 Jan 2018,0,13,94,270,2,91,9,152,818
Thu 25 Jan 2018,5,16,92,261,10,61,5,147,728
Fri 26 Jan 2018,0,15,93,250,14,69,14,156,769
Sat 27 Jan 2018,0,27,22,80,20,21,5,111,719
Sun 28 Jan 2018,0,9,34,76,18,41,10,126,1069
Mon 29 Jan 2018,0,3,115,311,52,104,8,188,881
Tue 30 Jan 2018,1,7,118,320,52,84,6,182,927
Wed 31 Jan 2018,3,4,115,285,20,81,6,125,757
Thu 1 Feb 2018,1,9,77,260,10,62,8,144,871
Fri 2 Feb 2018,0,6,81,234,0,72,12,171,693
Sat 3 Feb 2018,0,11,27,77,4,25,6,62,624
Sun 4 Feb 2018,0,4,8,64,2,13,3,59,603
Mon 5 Feb 2018,0,6,90,260,18,70,4,154,805
Tue 6 Feb 2018,0,4,80,287,38,76,4,144,932
Wed 7 Feb 2018,0,7,71,234,2,69,4,103,798
Thu 8 Feb 2018,0,6,84,263,14,57,10,150,869
Fri 9 Feb 2018,0,5,80,285,24,88,0,153,844
Sat 10 Feb 2018,0,5,15,67,4,15,1,78,667
Sun 11 Feb 2018,0,9,5,57,0,10,5,40,529
Mon 12 Feb 2018,0,3,86,268,2,93,3,165,950
Tue 13 Feb 2018,0,2,102,283,62,74,1,155,874
Wed 14 Feb 2018,0,1,132,333,74,112,0,202,1162
Thu 15 Feb 2018,0,1,121,291,88,80,0,154,872
Fri 16 Feb 2018,1,7,92,267,70,93,0,149,894
Sat 17 Feb 2018,0,2,27,81,28,31,2,105,672
Sun 18 Feb 2018,0,6,44,77,36,41,6,87,932
Mon 19 Feb 2018,5,0,81,197,66,70,1,142,905
Tue 20 Feb 2018,1,0,84,239,72,66,0,141,589
Wed 21 Feb 2018,5,0,119,335,76,97,1,199,809
Thu 22 Feb 2018,5,0,108,351,114,98,4,205,897
Fri 23 Feb 2018,0,2,97,265,28,47,0,133,508
Sat 24 Feb 2018,3,0,30,116,60,36,0,119,878
Sun 25 Feb 2018,4,0,20,59,24,48,0,65,572
Mon 26 Feb 2018,4,0,154,427,112,118,0,272,1212
Tue 27 Feb 2018,12,0,218,464,168,153,1,362,1359
Wed 28 Feb 2018,7,2,187,434,144,132,2,278,1168
Thu 1 Mar 2018,67,1,259,565,178,261,2,340,1386
Fri 2 Mar 2018,48,1,192,473,132,594,0,248,895
Sat 3 Mar 2018,29,0,73,131,182,38,6,110,860
Sun 4 Mar 2018,33,0,58,131,90,39,1,144,922
Mon 5 Mar 2018,130,3,211,503,152,128,2,304,1058
Tue 6 Mar 2018,181,2,221,566,176,129,0,335,1063
Wed 7 Mar 2018,56,1,105,308,62,50,1,175,881
Thu 8 Mar 2018,37,2,122,313,74,62,4,176,906
Fri 9 Mar 2018,27,6,84,298,66,70,1,188,966
Sat 10 Mar 2018,4,2,38,109,68,16,1,114,792
Sun 11 Mar 2018,7,0,50,115,56,37,2,130,1099
Mon 12 Mar 2018,63,1,186,460,152,92,9,264,1147
Tue 13 Mar 2018,27,1,82,252,66,65,4,134,879
Wed 14 Mar 2018,15,4,69,242,68,57,4,156,860
Thu 15 Mar 2018,33,2,94,341,122,71,5,197,981
Fri 16 Mar 2018,35,2,91,339,94,63,1,195,892
Sat 17 Mar 2018,7,0,60,88,60,16,0,120,872
Sun 18 Mar 2018,13,3,52,122,56,18,0,118,1002
Mon 19 Mar 2018,52,0,167,394,112,1202,3,251,1070
Tue 20 Mar 2018,88,2,210,459,150,144,4,281,1161
Wed 21 Mar 2018,131,0,217,537,136,151,0,287,1268
Thu 22 Mar 2018,265,0,180,610,172,162,7,397,1518
Fri 23 Mar 2018,206,0,245,598,192,138,1,370,1213
Sat 24 Mar 2018,80,0,144,192,128,73,2,201,1067
Sun 25 Mar 2018,129,0,180,203,104,93,2,295,1487
Mon 26 Mar 2018,413,1,278,684,258,197,6,524,1569
Tue 27 Mar 2018,424,0,382,709,256,211,8,495,1166
Wed 28 Mar 2018,390,0,317,673,232,182,6,448,1279
Thu 29 Mar 2018,429,1,323,621,452,153,7,410,1006
Fri 30 Mar 2018,191,4,173,200,112,94,47,263,1470
Sat 31 Mar 2018,193,7,293,224,196,324,73,284,1028
Sun 1 Apr 2018,135,0,122,141,72,109,30,164,1151
Mon 2 Apr 2018,175,20,235,292,150,186,84,341,1145
Tue 3 Apr 2018,493,51,399,813,246,227,74,483,1257
Wed 4 Apr 2018,208,13,141,279,80,68,14,178,747
Thu 5 Apr 2018,320,13,219,476,154,216,40,344,1079
Fri 6 Apr 2018,384,46,275,559,150,267,57,352,1106
Sat 7 Apr 2018,188,53,144,246,146,135,44,270,1209
Sun 8 Apr 2018,154,103,156,230,98,354,70,269,1088
Mon 9 Apr 2018,598,261,463,921,252,318,161,681,1394
Tue 10 Apr 2018,662,344,502,926,322,341,185,687,1407
Wed 11 Apr 2018,717,442,512,993,258,330,228,679,1217
Thu 12 Apr 2018,490,312,379,705,194,291,185,423,918
Fri 13 Apr 2018,623,500,454,803,280,398,258,638,1427
Sat 14 Apr 2018,136,87,130,210,122,75,45,236,882
Sun 15 Apr 2018,77,27,28,91,38,40,21,103,392
Mon 16 Apr 2018,36,12,24,126,24,33,8,68,322
Tue 17 Apr 2018,282,81,156,378,100,93,51,246,789
Wed 18 Apr 2018,461,285,340,665,198,248,159,456,1089
Thu 19 Apr 2018,564,372,366,775,236,264,186,517,1046
Fri 20 Apr 2018,714,654,512,983,284,396,309,716,1528
Sat 21 Apr 2018,655,915,839,629,348,594,506,874,1931
Sun 22 Apr 2018,931,1706,1100,665,326,892,881,1219,2216
Mon 23 Apr 2018,1467,2168,1415,2043,616,1068,997,1680,2335
Tue 24 Apr 2018,1538,2099,1471,2000,588,1039,959,1601,1783
Wed 25 Apr 2018,590,586,420,885,230,288,244,583,872
