Date,Total_Active_Cases_by_Date,Daily_Cases_by_Reported_Date,Year,Month,Day,Weekday
2020-02-10,1,0.0,2020,02,10,Monday
2020-02-11,1,0.0,2020,02,11,Tuesday
2020-02-12,1,0.0,2020,02,12,Wednesday
2020-02-13,1,0.0,2020,02,13,Thursday
2020-02-14,1,0.0,2020,02,14,Friday
2020-02-15,1,0.0,2020,02,15,Saturday
2020-02-16,1,0.0,2020,02,16,Sunday
2020-02-17,1,0.0,2020,02,17,Monday
2020-02-18,1,0.0,2020,02,18,Tuesday
2020-02-19,1,0.0,2020,02,19,Wednesday
2020-02-20,2,0.0,2020,02,20,Thursday
2020-02-21,2,0.0,2020,02,21,Friday
2020-02-22,3,0.0,2020,02,22,Saturday
2020-02-23,4,0.0,2020,02,23,Sunday
2020-02-24,5,0.0,2020,02,24,Monday
2020-02-25,5,0.0,2020,02,25,Tuesday
2020-02-26,5,0.0,2020,02,26,Wednesday
2020-02-27,5,0.0,2020,02,27,Thursday
2020-02-28,5,0.0,2020,02,28,Friday
2020-02-29,5,0.0,2020,02,29,Saturday
2020-03-01,7,0.0,2020,03,01,Sunday
2020-03-02,10,0.0,2020,03,02,Monday
2020-03-03,11,0.0,2020,03,03,Tuesday
2020-03-04,12,0.0,2020,03,04,Wednesday
2020-03-05,18,0.0,2020,03,05,Thursday
2020-03-06,23,0.0,2020,03,06,Friday
2020-03-07,27,0.0,2020,03,07,Saturday
2020-03-08,36,0.0,2020,03,08,Sunday
2020-03-09,45,1.0,2020,03,09,Monday
2020-03-10,52,0.0,2020,03,10,Tuesday
2020-03-11,61,0.0,2020,03,11,Wednesday
2020-03-12,75,3.0,2020,03,12,Thursday
2020-03-13,97,1.0,2020,03,13,Friday
2020-03-14,115,4.0,2020,03,14,Saturday
2020-03-15,142,4.0,2020,03,15,Sunday
2020-03-16,157,0.0,2020,03,16,Monday
2020-03-17,179,5.0,2020,03,17,Tuesday
2020-03-18,194,4.0,2020,03,18,Wednesday
2020-03-19,219,1.0,2020,03,19,Thursday
2020-03-20,241,2.0,2020,03,20,Friday
2020-03-21,261,4.0,2020,03,21,Saturday
2020-03-22,287,7.0,2020,03,22,Sunday
2020-03-23,308,9.0,2020,03,23,Monday
2020-03-24,324,8.0,2020,03,24,Tuesday
2020-03-25,347,8.0,2020,03,25,Wednesday
2020-03-26,357,19.0,2020,03,26,Thursday
2020-03-27,365,27.0,2020,03,27,Friday
2020-03-28,387,26.0,2020,03,28,Saturday
2020-03-29,399,11.0,2020,03,29,Sunday
2020-03-30,408,48.0,2020,03,30,Monday
2020-03-31,405,51.0,2020,03,31,Tuesday
2020-04-01,408,37.0,2020,04,01,Wednesday
2020-04-02,404,32.0,2020,04,02,Thursday
2020-04-03,410,26.0,2020,04,03,Friday
2020-04-04,417,18.0,2020,04,04,Saturday
2020-04-05,428,40.0,2020,04,05,Sunday
2020-04-06,428,40.0,2020,04,06,Monday
2020-04-07,426,25.0,2020,04,07,Tuesday
2020-04-08,429,26.0,2020,04,08,Wednesday
2020-04-09,437,25.0,2020,04,09,Thursday
2020-04-10,454,37.0,2020,04,10,Friday
2020-04-11,484,31.0,2020,04,11,Saturday
2020-04-12,499,35.0,2020,04,12,Sunday
2020-04-13,506,16.0,2020,04,13,Monday
2020-04-14,506,32.0,2020,04,14,Tuesday
2020-04-15,504,60.0,2020,04,15,Wednesday
2020-04-16,553,21.0,2020,04,16,Thursday
2020-04-17,557,73.0,2020,04,17,Friday
2020-04-18,579,31.0,2020,04,18,Saturday
2020-04-19,582,38.0,2020,04,19,Sunday
2020-04-20,618,16.0,2020,04,20,Monday
2020-04-21,631,51.0,2020,04,21,Tuesday
2020-04-22,647,35.0,2020,04,22,Wednesday
2020-04-23,662,50.0,2020,04,23,Thursday
2020-04-24,669,38.0,2020,04,24,Friday
2020-04-25,741,53.0,2020,04,25,Saturday
2020-04-26,760,88.0,2020,04,26,Sunday
2020-04-27,784,87.0,2020,04,27,Monday
2020-04-28,780,65.0,2020,04,28,Tuesday
2020-04-29,769,29.0,2020,04,29,Wednesday
2020-04-30,759,30.0,2020,04,30,Thursday
2020-05-01,742,42.0,2020,05,01,Friday
2020-05-02,743,22.0,2020,05,02,Saturday
2020-05-03,724,23.0,2020,05,03,Sunday
2020-05-04,721,14.0,2020,05,04,Monday
2020-05-05,721,29.0,2020,05,05,Tuesday
2020-05-06,694,23.0,2020,05,06,Wednesday
2020-05-07,672,32.0,2020,05,07,Thursday
2020-05-08,639,16.0,2020,05,08,Friday
2020-05-09,623,12.0,2020,05,09,Saturday
2020-05-10,554,25.0,2020,05,10,Sunday
2020-05-11,535,14.0,2020,05,11,Monday
2020-05-12,518,13.0,2020,05,12,Tuesday
