,Date,Burrard Bridge,Hornby Street,Dunsmuir Street,Dunsmuir Viaduct,Canada Line,Union and Hawks,Lions Gate,Science World,10th and Clark,Point Grey Road,Day,Month,Year,Total Bike Volume
0,9-Aug,130.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Aug,2018,130.0
1,9-Sep,107.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Sep,2018,107.0
2,9-Oct,70.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Oct,2018,70.0
3,9-Nov,43.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Nov,2018,43.0
4,9-Dec,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Dec,2018,34.0
5,10-Jan,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Jan,2018,46.0
6,10-Feb,71.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Feb,2018,71.0
7,10-Mar,68.0,0.0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Mar,2018,82.0
8,10-Apr,77.0,0.0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Apr,2018,92.0
9,10-May,103.0,0.0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10,May,2018,123.0
10,10-Jun,117.0,0.0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Jun,2018,151.0
11,10-Jul,162.0,0.0,46.000,43.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Jul,2018,205.0
12,10-Aug,139.0,0.0,48.000,44.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Aug,2018,183.0
13,10-Sep,100.0,0.0,37.000,39.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Sep,2018,139.0
14,10-Oct,80.0,0.0,35.000,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Oct,2018,115.0
15,10-Nov,45.0,0.0,24.000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Nov,2018,70.0
16,10-Dec,36.0,0.0,21.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Dec,2018,56.0
