Date,Province,HA,HSDA,Cases_Reported,Cases_Reported_Smoothed,Year,Month,Day,Day of Week
2020-01-29,BC,Vancouver Coastal,Vancouver,0,0.0,2020,01,29,Wednesday
2020-01-29,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,01,29,Wednesday
2020-01-29,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,01,29,Wednesday
2020-01-29,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,01,29,Wednesday
2020-01-30,BC,Vancouver Coastal,Vancouver,0,0.0,2020,01,30,Thursday
2020-01-30,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,01,30,Thursday
2020-01-30,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,01,30,Thursday
2020-01-30,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,01,30,Thursday
2020-01-31,BC,Vancouver Coastal,Vancouver,0,0.0,2020,01,31,Friday
2020-01-31,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,01,31,Friday
2020-01-31,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,01,31,Friday
2020-01-31,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,01,31,Friday
2020-02-01,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,01,Saturday
2020-02-01,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,01,Saturday
2020-02-01,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,01,Saturday
2020-02-01,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,01,Saturday
2020-02-02,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,02,Sunday
2020-02-02,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,02,Sunday
2020-02-02,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,02,Sunday
2020-02-02,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,02,Sunday
2020-02-03,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,03,Monday
2020-02-03,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,03,Monday
2020-02-03,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,03,Monday
2020-02-03,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,03,Monday
2020-02-04,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,04,Tuesday
2020-02-04,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,04,Tuesday
2020-02-04,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,04,Tuesday
2020-02-04,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,04,Tuesday
2020-02-05,BC,Vancouver Coastal,Vancouver,0,0.0,2020,02,05,Wednesday
2020-02-05,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,02,05,Wednesday
2020-02-05,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,02,05,Wednesday
2020-02-05,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,02,05,Wednesday
2020-02-06,BC,Vancouver Coastal,Vancouver,1,0.14,2020,02,06,Thursday
