Incident_StartDate,YEAR,MONTH,DAY,WEEKDAY,WEEK,X,Y,ONS_Neighbourhood_2019,LAT,LNG
2018-05-17,2018,5,17,Thursday,20,362989.6811,5015885.441000001,Old Barrhaven West,45.2730871,-75.7654647
2018-06-15,2018,6,15,Friday,24,363095.6819,5015986.442,Old Barrhaven West,45.2730871,-75.7654647
2018-09-20,2018,9,20,Thursday,38,362193.6729,5014083.423,Old Barrhaven West,45.2730871,-75.7654647
2019-05-06,2019,5,6,Monday,19,362524.6789,5016024.441000001,Old Barrhaven West,45.2730871,-75.7654647
2019-05-13,2019,5,13,Monday,20,362132.674,5014518.427,Old Barrhaven West,45.2730871,-75.7654647
2019-05-21,2019,5,21,Tuesday,21,362989.6811,5015885.441000001,Old Barrhaven West,45.2730871,-75.7654647
2019-06-22,2019,6,22,Saturday,25,362989.6811,5015885.441000001,Old Barrhaven West,45.2730871,-75.7654647
2019-07-23,2019,7,23,Tuesday,30,362989.6811,5015885.441000001,Old Barrhaven West,45.2730871,-75.7654647
2019-09-10,2019,9,10,Tuesday,37,362485.6781,5015756.438999999,Old Barrhaven West,45.2730871,-75.7654647
2019-10-18,2019,10,18,Friday,42,362485.6781,5015756.438999999,Old Barrhaven West,45.2730871,-75.7654647
2019-10-18,2019,10,18,Friday,42,362854.6789,5014920.432,Old Barrhaven West,45.2730871,-75.7654647
2020-05-14,2020,5,14,Thursday,20,362485.6781,5015756.438999999,Old Barrhaven West,45.2730871,-75.7654647
2020-07-04,2020,7,4,Saturday,27,363311.6841,5016194.444,Old Barrhaven West,45.2730871,-75.7654647
2020-07-27,2020,7,27,Monday,31,362810.6781,5014649.429,Old Barrhaven West,45.2730871,-75.7654647
2018-05-01,2018,5,1,Tuesday,18,374721.7271,5033324.579,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2018-05-25,2018,5,25,Friday,21,374721.7271,5033324.579,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2019-06-24,2019,6,24,Monday,26,374579.723,5034369.589,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2019-09-13,2019,9,13,Friday,37,375080.6876,5033542.63,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2019-09-17,2019,9,17,Tuesday,38,375080.6876,5033542.63,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2019-09-30,2019,9,30,Monday,40,375320.166,5034348.705,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2020-08-19,2020,8,19,Wednesday,34,376034.729,5034621.586,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2020-10-09,2020,10,9,Friday,41,374500.7249,5033631.583000001,Beacon Hill South - Cardinal Heights,45.441223,-75.5994611
2018-05-29,2018,5,29,Tuesday,22,351120.614,5021192.485,Beaverbrook,45.3261428,-75.90150729999999
2018-06-07,2018,6,7,Thursday,23,352308.9079,5020329.16,Beaverbrook,45.3261428,-75.90150729999999
2018-06-11,2018,6,11,Monday,24,352308.9079,5020329.16,Beaverbrook,45.3261428,-75.90150729999999
2019-05-29,2019,5,29,Wednesday,22,352308.9079,5020329.16,Beaverbrook,45.3261428,-75.90150729999999
2019-06-06,2019,6,6,Thursday,23,351520.18299999996,5020679.02,Beaverbrook,45.3261428,-75.90150729999999
2019-06-12,2019,6,12,Wednesday,24,352308.9079,5020329.16,Beaverbrook,45.3261428,-75.90150729999999
2019-08-23,2019,8,23,Friday,34,351520.18299999996,5020679.02,Beaverbrook,45.3261428,-75.90150729999999
2019-09-06,2019,9,6,Friday,36,352152.8279,5020141.646000001,Beaverbrook,45.3261428,-75.90150729999999
2019-09-17,2019,9,17,Tuesday,38,352152.8279,5020141.646000001,Beaverbrook,45.3261428,-75.90150729999999
2020-07-27,2020,7,27,Monday,31,352227.8471,5020057.999,Beaverbrook,45.3261428,-75.90150729999999
2020-08-05,2020,8,5,Wednesday,32,351771.6189,5021410.487,Beaverbrook,45.3261428,-75.90150729999999
2020-08-22,2020,8,22,Saturday,34,351896.6189,5021022.484,Beaverbrook,45.3261428,-75.90150729999999
2020-09-11,2020,9,11,Friday,37,351570.6181,5021504.488,Beaverbrook,45.3261428,-75.90150729999999
2018-05-08,2018,5,8,Tuesday,19,359078.6649,5020885.483,Bells Corners East,45.3208122,-75.82117170000001
2018-05-16,2018,5,16,Wednesday,20,359078.6649,5020885.483,Bells Corners East,45.3208122,-75.82117170000001
2018-06-29,2018,6,29,Friday,26,357684.6551,5020216.476,Bells Corners East,45.3208122,-75.82117170000001
2018-08-14,2018,8,14,Tuesday,33,357352.56,5020723.904,Bells Corners East,45.3208122,-75.82117170000001
2019-06-18,2019,6,18,Tuesday,25,359078.6649,5020885.483,Bells Corners East,45.3208122,-75.82117170000001
2020-09-24,2020,9,24,Thursday,39,357623.9057,5020336.272,Bells Corners East,45.3208122,-75.82117170000001
2018-06-22,2018,6,22,Friday,25,357311.651,5019333.468,Bells Corners West,45.3168931,-75.8375268
2018-07-28,2018,7,28,Saturday,30,356182.6449,5019779.472,Bells Corners West,45.3168931,-75.8375268
2019-06-06,2019,6,6,Thursday,23,356977.6501,5019906.473,Bells Corners West,45.3168931,-75.8375268
2020-07-20,2020,7,20,Monday,30,356678.6479,5020039.473999999,Bells Corners West,45.3168931,-75.8375268
2018-03-30,2018,3,30,Friday,13,370566.146,5027383.76,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-04-13,2018,4,13,Friday,15,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-04-23,2018,4,23,Monday,17,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-05-22,2018,5,22,Tuesday,21,369225.7159,5027983.546,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-05-30,2018,5,30,Wednesday,22,370052.72,5027323.54,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-07-08,2018,7,8,Sunday,27,370843.7211,5028667.55,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-08-05,2018,8,5,Sunday,31,370492.7219,5026902.536,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-08-22,2018,8,22,Wednesday,34,369817.7181,5027775.5430000005,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-09-06,2018,9,6,Thursday,36,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-10-13,2018,10,13,Saturday,41,368941.7159,5026732.536,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-11-08,2018,11,8,Thursday,45,370365.72,5028467.548,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-05-24,2019,5,24,Friday,21,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-06-24,2019,6,24,Monday,26,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-07-13,2019,7,13,Saturday,28,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-07-23,2019,7,23,Tuesday,30,369311.7181,5026570.534,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-07-25,2019,7,25,Thursday,30,370933.7219,5028848.551,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-09-09,2019,9,9,Monday,37,368941.7159,5026732.536,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-09-28,2019,9,28,Saturday,39,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-10-28,2019,10,28,Monday,44,369059.8102,5027348.983,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2019-11-05,2019,11,5,Tuesday,45,369653.7181,5027427.541,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-05-13,2020,5,13,Wednesday,20,369944.72,5026989.537,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-05-22,2020,5,22,Friday,21,369304.7159,5027894.545,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-06-22,2020,6,22,Monday,26,370256.7219,5026800.535,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-07-02,2020,7,2,Thursday,27,369225.7159,5027983.546,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-07-28,2020,7,28,Tuesday,31,369462.4959,5027440.577,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-07-26,2020,7,26,Sunday,30,369462.4959,5027440.577,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-07-31,2020,7,31,Friday,31,369663.7181,5027215.539,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-08-31,2020,8,31,Monday,36,369304.7159,5027894.545,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-09-16,2020,9,16,Wednesday,38,369304.7159,5027894.545,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-09-12,2020,9,12,Saturday,37,368889.5821,5027679.59,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-09-19,2020,9,19,Saturday,38,369694.7189,5027060.538,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-10-06,2020,10,6,Tuesday,41,369863.7211,5026038.53,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-10-21,2020,10,21,Wednesday,43,370636.8159,5027087.757,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-11-15,2020,11,15,Sunday,46,370147.7189,5028078.546,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-11-15,2020,11,15,Sunday,46,369482.7181,5027286.54,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2020-11-28,2020,11,28,Saturday,48,370086.7211,5026990.537,Billings Bridge - Alta Vista,45.3861056,-75.6706136
2018-08-09,2018,8,9,Thursday,32,373336.74,5023445.509,Hunt Club Upper -Blossom Park - Timbermill,45.366667,-75.61666699999999
2018-05-23,2018,5,23,Wednesday,21,365193.7,5022948.504,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-05-23,2018,5,23,Wednesday,21,365193.7,5022948.504,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-06-06,2018,6,6,Wednesday,23,365193.7,5022948.504,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-06-10,2018,6,10,Sunday,23,365004.9619,5023385.67,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-07-04,2018,7,4,Wednesday,27,366423.706,5023454.509,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-07-16,2018,7,16,Monday,29,365004.9619,5023385.67,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-09-07,2018,9,7,Friday,36,365350.3181,5023324.155,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2019-06-08,2019,6,8,Saturday,23,365097.2789,5023171.232,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2019-06-18,2019,6,18,Tuesday,25,365097.2789,5023171.232,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-05-20,2020,5,20,Wednesday,21,365746.703,5023899.512,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-07-17,2020,7,17,Friday,29,364944.8794,5023527.7639999995,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-07-25,2020,7,25,Saturday,30,365218.8789,5023514.782,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-08-08,2020,8,8,Saturday,32,364944.8794,5023527.7639999995,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-08-26,2020,8,26,Wednesday,35,365881.703,5024070.5139999995,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-09-21,2020,9,21,Monday,39,366370.706,5023605.51,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-09-22,2020,9,22,Tuesday,39,365193.7,5022948.504,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2020-09-28,2020,9,28,Monday,40,365193.7,5022948.504,Borden Farm - Fisher Glen,45.3514045,-75.72246539999999
2018-08-03,2018,8,3,Friday,31,362967.7019,5024292.762,Braemar Park - Bel Air Heights - Copeland Park,45.360494,-75.75628499999999
2019-06-13,2019,6,13,Thursday,24,364089.566,5025304.424,Braemar Park - Bel Air Heights - Copeland Park,45.360494,-75.75628499999999
2019-08-09,2019,8,9,Friday,32,363043.1879,5024170.061000001,Braemar Park - Bel Air Heights - Copeland Park,45.360494,-75.75628499999999
2020-08-20,2020,8,20,Thursday,34,362967.7019,5024292.762,Braemar Park - Bel Air Heights - Copeland Park,45.360494,-75.75628499999999
2020-11-01,2020,11,1,Sunday,44,363495.691,5024547.517,Braemar Park - Bel Air Heights - Copeland Park,45.360494,-75.75628499999999
2018-04-30,2018,4,30,Monday,18,360008.6721,5022095.494,Briar Green - Leslie Park,45.3395125,-75.7797334
2018-07-26,2018,7,26,Thursday,30,359743.6699,5021718.49,Briar Green - Leslie Park,45.3395125,-75.7797334
2018-07-31,2018,7,31,Tuesday,31,361492.2321,5022810.258,Briar Green - Leslie Park,45.3395125,-75.7797334
2019-06-23,2019,6,23,Sunday,25,360682.6751,5022028.494,Briar Green - Leslie Park,45.3395125,-75.7797334
2019-07-24,2019,7,24,Wednesday,30,361184.6789,5022932.502,Briar Green - Leslie Park,45.3395125,-75.7797334
2020-08-30,2020,8,30,Sunday,35,360008.6721,5022095.494,Briar Green - Leslie Park,45.3395125,-75.7797334
2020-09-22,2020,9,22,Tuesday,39,360220.6729,5022200.495,Briar Green - Leslie Park,45.3395125,-75.7797334
2018-01-04,2018,1,4,Thursday,1,368051.706,5031032.573,Centretown,45.415339,-75.696404
2018-01-26,2018,1,26,Friday,4,367062.7019,5031219.576,Centretown,45.415339,-75.696404
2018-03-01,2018,3,1,Thursday,9,367625.706,5030292.567,Centretown,45.415339,-75.696404
2018-03-16,2018,3,16,Friday,11,367579.7041,5031450.577,Centretown,45.415339,-75.696404
2018-04-03,2018,4,3,Tuesday,14,367565.703,5031817.581,Centretown,45.415339,-75.696404
2018-04-06,2018,4,6,Friday,14,367855.706,5031012.573,Centretown,45.415339,-75.696404
2018-04-11,2018,4,11,Wednesday,15,367731.7041,5031549.578,Centretown,45.415339,-75.696404
2018-04-11,2018,4,11,Wednesday,15,368361.7071,5031217.574,Centretown,45.415339,-75.696404
2018-04-13,2018,4,13,Friday,15,367221.703,5031319.576,Centretown,45.415339,-75.696404
2018-04-05,2018,4,5,Thursday,14,368119.706,5031271.575,Centretown,45.415339,-75.696404
2018-04-19,2018,4,19,Thursday,16,367179.703,5031386.577,Centretown,45.415339,-75.696404
2018-04-17,2018,4,17,Tuesday,16,367833.7049,5031386.576,Centretown,45.415339,-75.696404
2018-04-01,2018,4,1,Sunday,13,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-04-21,2018,4,21,Saturday,16,368377.7079,5030749.57,Centretown,45.415339,-75.696404
2018-04-23,2018,4,23,Monday,17,367139.7019,5031455.578,Centretown,45.415339,-75.696404
2018-04-23,2018,4,23,Monday,17,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-04-21,2018,4,21,Saturday,16,367385.703,5031423.577,Centretown,45.415339,-75.696404
2018-04-24,2018,4,24,Tuesday,17,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-04-24,2018,4,24,Tuesday,17,367538.7041,5031520.578,Centretown,45.415339,-75.696404
2018-04-24,2018,4,24,Tuesday,17,367762.7049,5031159.574,Centretown,45.415339,-75.696404
2018-04-26,2018,4,26,Thursday,17,367874.7049,5031319.576,Centretown,45.415339,-75.696404
2018-04-28,2018,4,28,Saturday,17,366739.7019,5031016.574,Centretown,45.415339,-75.696404
2018-04-29,2018,4,29,Sunday,17,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-04-25,2018,4,25,Wednesday,17,368361.7071,5031217.574,Centretown,45.415339,-75.696404
2018-04-30,2018,4,30,Monday,18,367898.7238,5031652.41,Centretown,45.415339,-75.696404
2018-05-01,2018,5,1,Tuesday,18,367962.706,5031178.574,Centretown,45.415339,-75.696404
2018-04-28,2018,4,28,Saturday,17,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-05-03,2018,5,3,Thursday,18,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-04-28,2018,4,28,Saturday,17,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-04-28,2018,4,28,Saturday,17,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-04-29,2018,4,29,Sunday,17,368369.149,5030526.916,Centretown,45.415339,-75.696404
2018-05-04,2018,5,4,Friday,18,368482.7079,5031190.574,Centretown,45.415339,-75.696404
2018-05-09,2018,5,9,Wednesday,19,367691.7041,5031613.579,Centretown,45.415339,-75.696404
2018-05-10,2018,5,10,Thursday,19,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-05-12,2018,5,12,Saturday,19,367179.703,5031386.577,Centretown,45.415339,-75.696404
2018-05-13,2018,5,13,Sunday,19,368164.7071,5031198.574,Centretown,45.415339,-75.696404
2018-05-14,2018,5,14,Monday,20,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-05-14,2018,5,14,Monday,20,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-05-16,2018,5,16,Wednesday,20,367898.7238,5031652.41,Centretown,45.415339,-75.696404
2018-05-17,2018,5,17,Thursday,20,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-05-19,2018,5,19,Saturday,20,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-05-20,2018,5,20,Sunday,20,367115.703,5030862.572,Centretown,45.415339,-75.696404
2018-05-20,2018,5,20,Sunday,20,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-05-21,2018,5,21,Monday,21,367034.703,5030997.574,Centretown,45.415339,-75.696404
2018-05-21,2018,5,21,Monday,21,367874.7049,5031319.576,Centretown,45.415339,-75.696404
2018-05-22,2018,5,22,Tuesday,21,367741.706,5030845.572,Centretown,45.415339,-75.696404
2018-05-22,2018,5,22,Tuesday,21,367369.7049,5030140.566000001,Centretown,45.415339,-75.696404
2018-05-24,2018,5,24,Thursday,21,367731.7041,5031549.578,Centretown,45.415339,-75.696404
2018-05-22,2018,5,22,Tuesday,21,366979.9412,5031354.328,Centretown,45.415339,-75.696404
2018-05-25,2018,5,25,Friday,21,367691.7041,5031613.579,Centretown,45.415339,-75.696404
2018-05-26,2018,5,26,Saturday,21,367858.7237,5031717.41,Centretown,45.415339,-75.696404
2018-05-26,2018,5,26,Saturday,21,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-05-25,2018,5,25,Friday,21,367115.703,5030862.572,Centretown,45.415339,-75.696404
2018-05-25,2018,5,25,Friday,21,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-05-21,2018,5,21,Monday,21,367648.7049,5030990.573,Centretown,45.415339,-75.696404
2018-05-23,2018,5,23,Wednesday,21,367648.7049,5030990.573,Centretown,45.415339,-75.696404
2018-05-22,2018,5,22,Tuesday,21,367949.305,5030488.615,Centretown,45.415339,-75.696404
2018-05-22,2018,5,22,Tuesday,21,367849.706,5030672.57,Centretown,45.415339,-75.696404
2018-05-10,2018,5,10,Thursday,19,367221.703,5031319.576,Centretown,45.415339,-75.696404
2018-05-28,2018,5,28,Monday,22,366941.703,5030856.572,Centretown,45.415339,-75.696404
2018-06-02,2018,6,2,Saturday,22,367449.706,5030004.563999999,Centretown,45.415339,-75.696404
2018-01-03,2018,1,3,Wednesday,1,367915.706,5031251.575,Centretown,45.415339,-75.696404
2018-05-20,2018,5,20,Sunday,20,367949.305,5030488.615,Centretown,45.415339,-75.696404
2018-05-30,2018,5,30,Wednesday,22,367115.703,5030862.572,Centretown,45.415339,-75.696404
2018-05-21,2018,5,21,Monday,21,368361.7071,5031217.574,Centretown,45.415339,-75.696404
2018-06-02,2018,6,2,Saturday,22,368241.7071,5030994.572,Centretown,45.415339,-75.696404
2018-05-21,2018,5,21,Monday,21,367949.305,5030488.615,Centretown,45.415339,-75.696404
2018-05-25,2018,5,25,Friday,21,367959.0315,5031555.432,Centretown,45.415339,-75.696404
2018-06-06,2018,6,6,Wednesday,23,368728.709,5031203.574,Centretown,45.415339,-75.696404
2018-06-07,2018,6,7,Thursday,23,367221.703,5031319.576,Centretown,45.415339,-75.696404
2018-06-08,2018,6,8,Friday,23,367248.6381,5030647.193,Centretown,45.415339,-75.696404
2018-06-09,2018,6,9,Saturday,23,368361.7071,5031217.574,Centretown,45.415339,-75.696404
2018-06-07,2018,6,7,Thursday,23,367868.7071,5030257.566000001,Centretown,45.415339,-75.696404
2018-06-11,2018,6,11,Monday,24,366979.9412,5031354.328,Centretown,45.415339,-75.696404
2018-06-11,2018,6,11,Monday,24,367962.706,5031178.574,Centretown,45.415339,-75.696404
2018-06-06,2018,6,6,Wednesday,23,367062.7019,5031219.576,Centretown,45.415339,-75.696404
2018-06-10,2018,6,10,Sunday,23,366739.7019,5031016.574,Centretown,45.415339,-75.696404
2018-06-12,2018,6,12,Tuesday,24,367261.703,5031252.576,Centretown,45.415339,-75.696404
2018-06-13,2018,6,13,Wednesday,24,367261.703,5031252.576,Centretown,45.415339,-75.696404
2018-06-12,2018,6,12,Tuesday,24,366692.4427,5031283.594,Centretown,45.415339,-75.696404
2018-06-13,2018,6,13,Wednesday,24,367316.703,5031164.575,Centretown,45.415339,-75.696404
2018-06-11,2018,6,11,Monday,24,367874.7049,5031319.576,Centretown,45.415339,-75.696404
2018-06-13,2018,6,13,Wednesday,24,368468.7079,5031045.573,Centretown,45.415339,-75.696404
2018-06-08,2018,6,8,Friday,23,368164.7071,5031198.574,Centretown,45.415339,-75.696404
2018-06-14,2018,6,14,Thursday,24,367868.7071,5030257.566000001,Centretown,45.415339,-75.696404
2018-06-14,2018,6,14,Thursday,24,367962.706,5031178.574,Centretown,45.415339,-75.696404
2018-06-14,2018,6,14,Thursday,24,367868.7071,5030257.566000001,Centretown,45.415339,-75.696404
2018-06-15,2018,6,15,Friday,24,367261.703,5031252.576,Centretown,45.415339,-75.696404
2018-06-15,2018,6,15,Friday,24,367832.706,5030700.57,Centretown,45.415339,-75.696404
2018-06-16,2018,6,16,Saturday,24,368463.7071,5031378.576,Centretown,45.415339,-75.696404
2018-06-15,2018,6,15,Friday,24,367385.703,5031423.577,Centretown,45.415339,-75.696404
2018-06-02,2018,6,2,Saturday,22,368463.7071,5031378.576,Centretown,45.415339,-75.696404
