Incident_Date,YEAR,MONTH,DAY,WEEKDAY,X,Y,LAT,LNG
2018-07-29,2018,7,29,Sunday,491104.291,5459077.4207,49.284384357340166,-123.12231950321518
2019-08-05,2019,8,5,Monday,490847.1395,5458872.6832,49.282538915567926,-123.12585074193291
2019-09-12,2019,9,12,Thursday,490863.9836,5458841.9294,49.28226253245524,-123.12561843546598
2018-06-03,2018,6,3,Sunday,490903.5756,5458800.6793,49.281892072002066,-123.12507311618069
2018-06-05,2018,6,5,Tuesday,490903.5756,5458800.6793,49.281892072002066,-123.12507311618069
2018-06-17,2018,6,17,Sunday,490903.5756,5458800.6793,49.281892072002066,-123.12507311618069
2019-02-22,2019,2,22,Friday,490903.5756,5458800.6793,49.281892072002066,-123.12507311618069
2019-09-06,2019,9,6,Friday,490903.5756,5458800.6793,49.281892072002066,-123.12507311618069
2020-10-18,2020,10,18,Sunday,490197.4785,5458239.4212,49.276832552468036,-123.13476795579513
2020-11-03,2020,11,3,Tuesday,490197.4785,5458239.4212,49.276832552468036,-123.13476795579513
2018-09-19,2018,9,19,Wednesday,490197.8719,5458238.7921,49.2768268999221,-123.13476253181432
2019-07-01,2019,7,1,Monday,490227.2225,5458210.3785,49.27657178500085,-123.13435831808319
2020-05-30,2020,5,30,Saturday,490227.2225,5458210.3785,49.27657178500085,-123.13435831808319
2018-06-18,2018,6,18,Monday,490228.7807,5458208.3497,49.27655356053062,-123.1343368461027
2019-03-24,2019,3,24,Sunday,490228.7807,5458208.3497,49.27655356053062,-123.1343368461027
2019-07-31,2019,7,31,Wednesday,490232.6157,5458203.356000001,49.27650870269159,-123.1342839998968
2019-03-24,2019,3,24,Sunday,490249.2307,5458166.8328,49.27618043593351,-123.13405468377111
2020-06-12,2020,6,12,Friday,490249.3649,5458166.6581,49.276178866619645,-123.13405283452084
2020-10-20,2020,10,20,Tuesday,490249.3649,5458166.6581,49.276178866619645,-123.13405283452084
2019-04-06,2019,4,6,Saturday,490252.3815,5458162.7231,49.27614351877388,-123.13401126618676
2020-10-01,2020,10,1,Thursday,490255.3982,5458158.7882,49.27610817181399,-123.13396969653974
2018-02-08,2018,2,8,Thursday,490268.43200000003,5458142.5770000005,49.27596255709876,-123.13379011274186
2018-03-12,2018,3,12,Monday,490268.43200000003,5458142.5770000005,49.27596255709876,-123.13379011274186
2018-03-20,2018,3,20,Tuesday,490268.43200000003,5458142.5770000005,49.27596255709876,-123.13379011274186
2018-09-03,2018,9,3,Monday,490268.43200000003,5458142.5770000005,49.27596255709876,-123.13379011274186
2018-11-08,2018,11,8,Thursday,490268.43200000003,5458142.5770000005,49.27596255709876,-123.13379011274186
2019-09-05,2019,9,5,Thursday,490269.91,5458141.1263,49.27594953134605,-123.13376975788839
2020-10-06,2020,10,6,Tuesday,490269.91,5458141.1263,49.27594953134605,-123.13376975788839
2019-08-07,2019,8,7,Wednesday,491349.0184,5458008.109,49.274769241378316,-123.11893128118653
2020-08-19,2020,8,19,Wednesday,490254.0011,5459164.9647,49.285158860531354,-123.13401342627587
2018-05-07,2018,5,7,Monday,490421.9484,5458518.727999999,49.27934851921646,-123.13168857504918
2020-08-16,2020,8,16,Sunday,490423.396,5458517.2537,49.27933528034,-123.13166863675623
2019-11-09,2019,11,9,Saturday,490480.7113,5458458.8632,49.27881094394406,-123.13087922155343
2018-05-04,2018,5,4,Friday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2018-05-09,2018,5,9,Wednesday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2018-05-17,2018,5,17,Thursday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2018-06-04,2018,6,4,Monday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2018-08-31,2018,8,31,Friday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2019-01-14,2019,1,14,Monday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2019-04-14,2019,4,14,Sunday,490729.6302,5458622.1395,49.28028346548365,-123.12746066818804
2019-08-19,2019,8,19,Monday,490729.6303,5458622.1395,49.28028346548517,-123.12746066681309
2019-09-10,2019,9,10,Tuesday,490729.6303,5458622.1395,49.28028346548517,-123.12746066681309
2019-11-01,2019,11,1,Friday,490729.6303,5458622.1395,49.28028346548517,-123.12746066681309
2020-03-02,2020,3,2,Monday,490729.8291,5458622.3417,49.28028528732061,-123.12745793815581
2020-03-22,2020,3,22,Sunday,490729.8291,5458622.3417,49.28028528732061,-123.12745793815581
2019-01-07,2019,1,7,Monday,490729.9102,5458609.3957,49.28016883726859,-123.12745652299074
2019-10-04,2019,10,4,Friday,490730.3744,5458609.8671,49.2801730846247,-123.12745015154549
2020-08-02,2020,8,2,Sunday,490730.3744,5458609.8671,49.2801730846247,-123.12745015154549
2020-09-24,2020,9,24,Thursday,490758.7224,5458638.6357,49.28043229189488,-123.1270610543938
2018-05-15,2018,5,15,Tuesday,490835.5218,5458718.9971,49.28115631143741,-123.12600696116644
2018-06-04,2018,6,4,Monday,490835.5218,5458718.9971,49.28115631143741,-123.12600696116644
2018-09-02,2018,9,2,Sunday,490835.5218,5458718.9971,49.28115631143741,-123.12600696116644
2019-10-12,2019,10,12,Saturday,490422.68100000004,5458907.0773,49.28284179189216,-123.13168780376031
2018-12-29,2018,12,29,Saturday,491357.0968,5458034.8417,49.27500982072892,-123.118820799446
2020-05-20,2020,5,20,Wednesday,491407.3592,5458130.6092,49.27587197379557,-123.11813186140336
2018-08-24,2018,8,24,Friday,491406.38700000005,5459576.2155,49.28887541313567,-123.11817629633087
2018-08-06,2018,8,6,Monday,491492.0426,5459540.3896,49.28855435255275,-123.11699763114116
2018-08-06,2018,8,6,Monday,491492.0426,5459540.3896,49.28855435255275,-123.11699763114116
2018-09-15,2018,9,15,Saturday,491492.0426,5459540.3896,49.28855435255275,-123.11699763114116
2019-10-18,2019,10,18,Friday,491492.0426,5459540.3896,49.28855435255275,-123.11699763114116
2019-11-17,2019,11,17,Sunday,491492.0426,5459540.3896,49.28855435255275,-123.11699763114116
2018-03-20,2018,3,20,Tuesday,491493.3146,5459541.9753,49.28856863386438,-123.1169801729503
2019-07-12,2019,7,12,Friday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-07-19,2019,7,19,Friday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-08-04,2019,8,4,Sunday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-08-19,2019,8,19,Monday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-08-28,2019,8,28,Wednesday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-08-30,2019,8,30,Friday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2019-11-26,2019,11,26,Tuesday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2020-02-23,2020,2,23,Sunday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2020-09-29,2020,9,29,Tuesday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2020-10-12,2020,10,12,Monday,491493.3778,5459541.9474,49.28856838377963,-123.11697930326002
2018-10-17,2018,10,17,Wednesday,491519.3199,5459518.8272,49.28836077478795,-123.11662206922348
2018-08-10,2018,8,10,Friday,491549.9084,5459515.7328,49.28833336395844,-123.11620136697145
2020-12-13,2020,12,13,Sunday,491590.1798,5459490.89,49.28811045488092,-123.11564705365025
2020-07-20,2020,7,20,Monday,494937.3102,5458068.7044,49.275354552805865,-123.06960126544385
2019-09-06,2019,9,6,Friday,490653.75899999996,5458753.9139,49.2814676411125,-123.12850691772518
2018-10-17,2018,10,17,Wednesday,494798.5271,5458176.1384,49.27631977567676,-123.07151063473792
2020-07-17,2020,7,17,Friday,490494.6498,5458589.8812,49.279989688137405,-123.13069069789225
2020-02-24,2020,2,24,Monday,490528.544,5458556.4589,49.279689575502466,-123.13022389038167
2020-07-22,2020,7,22,Wednesday,490593.5634,5458492.3451,49.279113865883474,-123.12932842724868
2018-07-03,2018,7,3,Tuesday,489839.3948,5459560.8832,49.288713450596184,-123.13972456146311
2019-09-11,2019,9,11,Wednesday,489842.0669,5459563.5454,49.28873744187654,-123.13968788358731
2020-06-13,2020,6,13,Saturday,489875.1091,5459583.5524,49.288917955972806,-123.13923400850969
2018-08-13,2018,8,13,Monday,489895.7669,5459617.0359,49.28921948659209,-123.13895077689023
2018-08-16,2018,8,16,Thursday,489922.2667,5459630.5263,49.289341272209164,-123.13858669981667
2018-08-30,2018,8,30,Thursday,489922.2667,5459630.5263,49.289341272209164,-123.13858669981667
2020-11-03,2020,11,3,Tuesday,491238.7326,5459258.6928,49.28601686914596,-123.12047485512588
2018-08-10,2018,8,10,Friday,491311.3762,5459211.0756,49.285589582443,-123.11947491141945
2020-01-20,2020,1,20,Monday,493983.1163,5456332.3199,49.25972680102787,-123.08269329062587
2020-09-07,2020,9,7,Monday,493987.3164,5456323.0992,49.25964390028283,-123.08263542795976
2019-10-15,2019,10,15,Tuesday,494027.4302,5456331.5263,49.25972009672683,-123.08208424952336
2019-08-11,2019,8,11,Sunday,493948.8569,5455949.4277,49.2562822700127,-123.08315834889868
2020-06-28,2020,6,28,Sunday,494021.5335,5455142.9161,49.249028242074296,-123.082147546689
2019-08-12,2019,8,12,Monday,493779.1463,5451519.6927,49.21643405455338,-123.08542186641067
2019-09-11,2019,9,11,Wednesday,494011.1441,5456833.5462,49.26423570537097,-123.08231558858088
2020-09-27,2020,9,27,Sunday,493967.88,5456733.0968,49.2633317183469,-123.08290873024116
2019-12-27,2019,12,27,Friday,493996.3052,5456628.7434,49.26239331879793,-123.08251647413607
2019-07-15,2019,7,15,Monday,494060.9889,5458587.913,49.280017038743345,-123.08165652582726
2019-08-09,2019,8,9,Friday,491511.5237,5457975.6258,49.2744793274416,-123.11669651928425
2020-09-13,2020,9,13,Sunday,491544.5157,5458009.7425,49.27478667006836,-123.11624367926066
2018-05-08,2018,5,8,Tuesday,491546.0895,5458011.0024,49.27479802484456,-123.11622206976315
2020-09-15,2020,9,15,Tuesday,489771.9792,5459720.2803,49.29014612453098,-123.14065570970916
2018-07-19,2018,7,19,Thursday,490937.0255,5458397.012999999,49.278261527312445,-123.12460404288547
2018-10-06,2018,10,6,Saturday,490985.1428,5458433.1303,49.278587119677105,-123.12394330869763
2018-10-14,2018,10,14,Sunday,490989.54799999995,5458450.7113,49.278745328518546,-123.12388313881006
2020-09-13,2020,9,13,Sunday,491000.3223,5458448.6497,49.27872694282026,-123.12373495880223
2018-04-02,2018,4,2,Monday,491000.4619,5458448.7923,49.27872822758521,-123.1237330426804
2020-06-11,2020,6,11,Thursday,491008.4524,5458470.039,49.27891946261592,-123.12362366067836
2020-11-01,2020,11,1,Sunday,491016.8336,5458478.6079,49.27899666445739,-123.12350862136714
2018-07-24,2018,7,24,Tuesday,491031.1,5458480.1163,49.27901044224457,-123.12331250842166
2018-08-21,2018,8,21,Tuesday,491035.5053,5458497.6972,49.279168649849844,-123.12325233462609
2019-01-26,2019,1,26,Saturday,491050.79600000003,5458500.2531,49.2791918646278,-123.12304216135394
2019-08-29,2019,8,29,Thursday,494040.9058,5456959.0548,49.26536497011578,-123.08190838927085
2019-09-21,2019,9,21,Saturday,494040.9058,5456959.0548,49.26536497011578,-123.08190838927085
2018-10-16,2018,10,16,Tuesday,494050.6484,5456956.1896,49.2653392919464,-123.08177443374069
2018-07-22,2018,7,22,Sunday,491307.0517,5458245.6877,49.27690570569846,-123.11951338956982
2019-04-07,2019,4,7,Sunday,490369.9867,5458403.2681,49.27830912301687,-123.13240021395978
2018-07-30,2018,7,30,Monday,490397.5287,5458375.2264,49.27805731678883,-123.13202087490808
2018-04-15,2018,4,15,Sunday,490411.2998,5458361.2055,49.27793141275428,-123.13183120545459
2019-07-22,2019,7,22,Monday,490426.0861,5458359.2003,49.27791360742087,-123.13162786709124
2019-08-23,2019,8,23,Friday,490431.9449,5458353.2344,49.27786003494028,-123.13154717432126
2020-04-01,2020,4,1,Wednesday,490431.9449,5458353.2344,49.27786003494028,-123.13154717432126
2020-04-06,2020,4,6,Monday,490431.9449,5458353.2344,49.27786003494028,-123.13154717432126
2020-06-26,2020,6,26,Friday,490431.9449,5458353.2344,49.27786003494028,-123.13154717432126
2018-09-19,2018,9,19,Wednesday,490434.3487,5458350.7878,49.277838065007046,-123.13151406705968
2019-07-21,2019,7,21,Sunday,490435.9692,5458336.0877,49.2777058606431,-123.13149143603391
2019-08-01,2019,8,1,Thursday,491167.0929,5458201.7591,49.2765085545486,-123.1214366126016
2020-09-12,2020,9,12,Saturday,491169.3909,5458191.0458,49.27641221986369,-123.12140478277861
2020-04-16,2020,4,16,Thursday,491198.8052,5458234.0738,49.27679968792891,-123.12100133750259
2018-10-16,2018,10,16,Tuesday,491209.513,5458231.9298,49.27678055636578,-123.12085407683682
2019-12-29,2019,12,29,Sunday,491255.8873,5458292.2401,49.27732372241445,-123.12021782995886
2018-09-07,2018,9,7,Friday,490909.6103,5458643.1367,49.28047504171432,-123.12498655964927
2018-03-15,2018,3,15,Thursday,490889.5958,5458482.8579,49.27903301077524,-123.12525809311354
2019-05-31,2019,5,31,Friday,490890.8812,5458497.2465,49.2791624576611,-123.12524074804607
2020-11-25,2020,11,25,Wednesday,490912.2593,5458506.0209,49.27924170297575,-123.12494702190791
2019-06-19,2019,6,19,Wednesday,490683.3103,5457251.1069,49.26795009710205,-123.1280655995007
2020-12-11,2020,12,11,Friday,490685.4618,5457251.1613,49.26795061921497,-123.12803602669895
2019-09-18,2019,9,18,Wednesday,490704.2046,5457226.6098,49.267730059386814,-123.12777782177542
2020-08-06,2020,8,6,Thursday,490409.62100000004,5459131.1083,49.28485677914435,-123.13187275162069
2020-08-20,2020,8,20,Thursday,493912.2974,5455680.9787,49.253867152849836,-123.08365668942866
2020-07-25,2020,7,25,Saturday,494004.7684,5455603.7685,49.253173543995686,-123.0823848064138
2019-08-01,2019,8,1,Thursday,492722.6958,5458058.007999999,49.275235986134085,-123.10004728847368
2019-11-16,2019,11,16,Saturday,492743.2373,5458089.6091,49.275520487624426,-123.09976546075507
2018-07-30,2018,7,30,Monday,492743.7962,5458111.1348,49.27571412161635,-123.09975816753723
2018-09-27,2018,9,27,Thursday,492743.7962,5458111.1348,49.27571412161635,-123.09975816753723
2019-07-09,2019,7,9,Tuesday,492744.1467,5458124.6243,49.27583546613584,-123.09975359357381
2019-07-17,2019,7,17,Wednesday,491239.896,5458111.0872,49.27569399349193,-123.12043371723779
2020-10-16,2020,10,16,Friday,491323.2043,5458184.3174,49.276353899273495,-123.11928998772659
2018-06-17,2018,6,17,Sunday,491346.1971,5458208.1626,49.27656871667328,-123.11897439562176
2019-09-17,2019,9,17,Tuesday,491365.489,5457865.892000001,49.273490208425294,-123.11870177879884
2019-10-12,2019,10,12,Saturday,491400.6061,5457863.2867,49.27346726825109,-123.11821895626733
2020-10-19,2020,10,19,Monday,491443.7948,5457868.8672,49.273518071727686,-123.11762534637126
2018-08-14,2018,8,14,Tuesday,491476.2703,5457858.1817,49.27342240746504,-123.11717866686037
2020-09-24,2020,9,24,Thursday,491477.7038,5457857.4994,49.2734162900443,-123.11715894554709
2019-09-29,2019,9,29,Sunday,491543.9092,5457836.0862,49.27322459393163,-123.11624834642899
2018-07-27,2018,7,27,Friday,491645.5116,5457866.4683,49.27349928289156,-123.11485222605808
2018-06-11,2018,6,11,Monday,491265.6466,5459162.307,49.28515024971781,-123.12010265982703
2018-09-21,2018,9,21,Friday,490766.88899999997,5458782.4641,49.28172617395399,-123.12695209065656
2018-04-27,2018,4,27,Friday,490794.8878,5458754.7884,49.28147764909479,-123.126566480698
2018-11-07,2018,11,7,Wednesday,490141.0874,5459221.1507,49.28566245062679,-123.13556743953215
2018-09-24,2018,9,24,Monday,490246.1686,5458368.0315,49.27799020117051,-123.13410168829772
2018-09-25,2018,9,25,Tuesday,490246.1686,5458368.0315,49.27799020117051,-123.13410168829772
2020-03-16,2020,3,16,Monday,490246.1686,5458368.0315,49.27799020117051,-123.13410168829772
2019-12-26,2019,12,26,Thursday,490298.1327,5458316.5676,49.27752810223235,-123.13338600745973
2020-06-15,2020,6,15,Monday,490298.1327,5458316.5676,49.27752810223235,-123.13338600745973
2020-07-21,2020,7,21,Tuesday,490298.1327,5458316.5676,49.27752810223235,-123.13338600745973
2018-12-06,2018,12,6,Thursday,490299.7837,5458314.9294,49.277513392565616,-123.13336326903894
2019-04-09,2019,4,9,Tuesday,490351.6917,5458276.3433,49.277167125969754,-123.13264868392729
2018-08-17,2018,8,17,Friday,490352.2816,5458275.7563,49.27716185512185,-123.1326405596169
2018-07-29,2018,7,29,Sunday,494021.0878,5458866.2328,49.28252018278024,-123.08220929403015
2019-09-22,2019,9,22,Sunday,492586.915,5458039.8294,49.275070835156896,-123.10191364261706
2018-05-22,2018,5,22,Tuesday,492586.9351,5458039.3939,49.27506691800341,-123.10191335821594
2018-07-18,2018,7,18,Wednesday,492593.6078,5458043.6857,49.27510560435438,-123.10182170286559
2018-09-06,2018,9,6,Thursday,492593.6078,5458043.6857,49.27510560435438,-123.10182170286559
2020-01-06,2020,1,6,Monday,491127.0236,5458305.7226,49.277443142848234,-123.1219897985614
2020-04-26,2020,4,26,Sunday,491127.0236,5458305.7226,49.277443142848234,-123.1219897985614
2019-04-20,2019,4,20,Saturday,491181.9337,5458347.7606,49.2778220759916,-123.12123579763615
2020-08-02,2020,8,2,Sunday,491184.2198,5458362.9894,49.2779590944755,-123.12120470278226
2020-08-26,2020,8,26,Wednesday,491058.2284,5458958.9991,49.28331846493324,-123.12295023212455
