Date,Vaccine_type,Doses_per_Day,OBJECTID
2020/12/15,Pfizer,12,0
2020/12/16,Pfizer,24,1
2020/12/17,Pfizer,40,2
2020/12/18,Pfizer,58,3
2020/12/21,Pfizer,79,4
2020/12/22,Pfizer,114,5
2020/12/23,Pfizer,112,6
2020/12/29,Pfizer,88,7
2020/12/30,Pfizer,133,8
2020/12/31,Pfizer,61,9
2021/01/01,Pfizer,74,10
2021/01/02,Pfizer,94,11
2021/01/03,Pfizer,120,12
2021/01/04,Pfizer,140,13
2021/01/05,Pfizer,53,14
2021/01/06,Pfizer,142,15
2021/01/07,Pfizer,172,16
2021/01/08,Pfizer,242,17
2021/01/09,Pfizer,110,18
2021/01/10,Pfizer,14,19
2021/01/11,Pfizer,7,20
2021/01/13,Moderna,8,21
2021/01/13,Pfizer,52,22
2021/01/14,Moderna,13,23
2021/01/14,Pfizer,32,24
2021/01/15,Pfizer,186,25
2021/01/16,Pfizer,168,26
2021/01/17,Pfizer,6,27
2021/01/18,Pfizer,2,28
2021/01/19,Pfizer,1,29
2021/01/20,Pfizer,3,30
2021/01/21,Pfizer,110,31
2021/01/22,Pfizer,111,32
2021/01/25,Pfizer,1,33
2021/01/26,Pfizer,56,34
2021/01/28,Pfizer,8,35
2021/01/29,Pfizer,6,36
2021/01/30,Pfizer,1,37
2021/01/31,Pfizer,4,38
2021/02/02,Pfizer,5,39
2021/02/03,Moderna,10,40
2021/02/03,Pfizer,104,41
2021/02/04,Pfizer,3,42
2021/02/05,Pfizer,7,43
2021/02/06,Pfizer,92,44
2021/02/07,Moderna,7,45
2021/02/07,Pfizer,106,46
2021/02/08,Moderna,3,47
2021/02/08,Pfizer,132,48
2021/02/09,Moderna,15,49
2021/02/09,Pfizer,44,50
2021/02/10,Moderna,32,51
2021/02/11,Pfizer,229,52
2021/02/12,Pfizer,210,53
2021/02/13,Pfizer,147,54
2021/02/14,Pfizer,5,55
2021/02/16,Pfizer,17,56
2021/02/17,Pfizer,11,57
2021/02/18,Pfizer,49,58
2021/02/19,Pfizer,125,59
2021/02/20,Pfizer,171,60
2021/02/21,Pfizer,120,61
2021/02/22,Pfizer,139,62
2021/02/23,Pfizer,4,63
2021/02/24,Pfizer,3,64
2021/02/25,Pfizer,178,65
2021/02/26,Pfizer,195,66
2021/02/27,Pfizer,119,67
2021/02/28,Pfizer,131,68
2021/03/01,Pfizer,20,69
2021/03/02,Pfizer,86,70
2021/03/03,Moderna,8,71
2021/03/03,Pfizer,194,72
2021/03/04,Pfizer,233,73
2021/03/05,Pfizer,224,74
2021/03/06,Pfizer,275,75
2021/03/07,Moderna,15,76
2021/03/07,Pfizer,259,77
2021/03/08,Moderna,4,78
2021/03/08,Pfizer,283,79
2021/03/09,Moderna,10,80
2021/03/09,Pfizer,256,81
2021/03/10,Moderna,7,82
2021/03/10,Pfizer,161,83
2021/03/11,Pfizer,187,84
2021/03/12,Moderna,1,85
2021/03/12,Pfizer,193,86
2021/03/13,Pfizer,118,87
2021/03/14,Moderna,5,88
2021/03/14,Pfizer,63,89
2021/03/15,Moderna,6,90
2021/03/15,Pfizer,103,91
2021/03/16,Moderna,3,92
