Date,1^ALEX,2^ORPY,3^COBY,4^CRTZ,5^LMET,10^OGLD,11 OBVW,12a^ADAWE,12b^ADAWE,,Note:,1. ALEX: internal Battery failed in August 2019.
Tue 1 Jan 2019,8,5,8,23,28,6,3,50,633,,,2. LMET: Inbound counter was damaged from March 16 to April 24.
Wed 2 Jan 2019,10,19,46,36,161,52,5,142,535,,,
Thu 3 Jan 2019,4,26,89,43,219,72,14,153,689,,,
Fri 4 Jan 2019,24,16,70,72,275,79,19,188,771,,,
Sat 5 Jan 2019,8,26,44,39,115,38,8,111,809,,,
Sun 6 Jan 2019,10,11,22,19,33,17,3,69,683,,,
Mon 7 Jan 2019,26,15,111,57,190,97,7,203,910,,,
Tue 8 Jan 2019,6,11,84,64,203,73,,171,1092,,,
Wed 9 Jan 2019,22,13,117,93,324,94,11,251,1084,,,
Thu 10 Jan 2019,12,16,107,80,318,75,8,239,835,,,
Fri 11 Jan 2019,10,11,67,43,249,62,6,149,764,,,
Sat 12 Jan 2019,0,10,30,40,141,19,4,58,583,,,
Sun 13 Jan 2019,2,13,22,22,52,12,2,73,594,,,
Mon 14 Jan 2019,17,15,96,73,184,109,8,257,1089,,,
Tue 15 Jan 2019,36,22,122,71,298,108,11,212,1215,,,
Wed 16 Jan 2019,21,16,119,59,311,108,16,243,1049,,,
Thu 17 Jan 2019,11,18,108,48,278,86,15,178,840,,,
Fri 18 Jan 2019,15,16,108,31,298,75,12,171,912,,,
Sat 19 Jan 2019,0,1,11,5,158,14,1,55,401,,,
Sun 20 Jan 2019,27,3,10,11,79,5,0,52,15,,,
Mon 21 Jan 2019,0,4,55,33,137,43,6,112,568,,,
Tue 22 Jan 2019,9,8,73,39,261,66,2,146,867,,,
Wed 23 Jan 2019,11,3,19,16,169,30,3,83,1003,,,
Thu 24 Jan 2019,25,2,35,16,196,46,1,93,769,,,
Fri 25 Jan 2019,2,4,45,24,226,58,4,141,903,,,
Sat 26 Jan 2019,0,1,12,8,144,23,2,83,689,,,
Sun 27 Jan 2019,3,2,4,3,61,13,2,58,533,,,
Mon 28 Jan 2019,9,3,75,21,170,70,1,143,813,,,
Tue 29 Jan 2019,14,3,31,15,219,44,4,85,847,,,
Wed 30 Jan 2019,10,2,64,35,261,54,0,138,900,,,
Thu 31 Jan 2019,13,2,54,32,255,49,0,136,845,,,
Fri 1 Feb 2019,11,4,57,46,222,54,3,140,900,,,
Sat 2 Feb 2019,4,4,9,1,116,14,0,60,388,,,
Sun 3 Feb 2019,2,1,3,6,63,9,2,50,471,,,
Mon 4 Feb 2019,2,7,33,13,136,24,6,138,869,,,
Tue 5 Feb 2019,6,1,44,19,224,34,0,150,849,,,
Wed 6 Feb 2019,8,3,38,19,256,52,4,128,850,,,
Thu 7 Feb 2019,6,2,44,17,239,57,2,143,946,,,
Fri 8 Feb 2019,8,0,38,9,249,51,0,137,765,,,
Sat 9 Feb 2019,5,3,10,2,160,15,4,60,700,,,
Sun 10 Feb 2019,6,4,4,2,68,29,0,88,718,,,
Mon 11 Feb 2019,21,0,38,27,173,65,0,209,1109,,,
Tue 12 Feb 2019,16,2,27,12,232,44,0,127,692,,,
Wed 13 Feb 2019,17,4,4,0,149,6,4,52,677,,,
Thu 14 Feb 2019,19,4,11,12,231,42,2,134,1127,,,
Fri 15 Feb 2019,12,5,3,14,197,38,2,113,901,,,
Sat 16 Feb 2019,21,3,7,6,135,13,2,67,768,,,
Sun 17 Feb 2019,22,4,12,4,65,20,1,85,749,,,
Mon 18 Feb 2019,58,1,33,11,151,52,0,134,824,,,
Tue 19 Feb 2019,30,0,50,25,234,55,0,171,944,,,
Wed 20 Feb 2019,33,0,49,34,248,62,0,203,917,,,
Thu 21 Feb 2019,18,2,44,17,273,57,2,150,770,,,
Fri 22 Feb 2019,19,2,41,34,279,70,2,177,1096,,,
Sat 23 Feb 2019,5,2,16,14,147,30,4,91,861,,,
Sun 24 Feb 2019,3,0,8,1,76,4,0,68,267,,,
Mon 25 Feb 2019,18,0,13,5,125,42,0,137,730,,,
Tue 26 Feb 2019,12,0,36,8,309,54,0,151,928,,,
Wed 27 Feb 2019,26,0,39,12,311,54,0,195,974,,,
Thu 28 Feb 2019,23,8,43,6,323,53,7,174,1017,,,
Fri 1 Mar 2019,32,0,39,9,309,67,0,194,1040,,,
Sat 2 Mar 2019,2,0,8,4,63,17,0,80,818,,,
Sun 3 Mar 2019,10,2,5,4,70,26,3,98,981,,,
Mon 4 Mar 2019,38,0,55,14,317,81,0,218,1293,,,
Tue 5 Mar 2019,21,0,37,12,328,74,0,170,944,,,
Wed 6 Mar 2019,22,2,39,12,304,69,0,197,1032,,,
Thu 7 Mar 2019,30,1,31,8,304,81,9,179,1113,,,
Fri 8 Mar 2019,31,0,29,12,308,78,0,179,1116,,,
Sat 9 Mar 2019,11,3,7,6,103,45,2,83,1078,,,
Sun 10 Mar 2019,0,1,5,2,15,5,0,72,401,,,
Mon 11 Mar 2019,32,1,19,4,266,56,2,178,979,,,
Tue 12 Mar 2019,39,0,24,4,304,75,0,176,1257,,,
Wed 13 Mar 2019,32,0,29,6,281,65,0,157,993,,,
Thu 14 Mar 2019,41,1,32,18,231,65,2,151,923,,,
Fri 15 Mar 2019,43,0,33,22,176,83,0,172,958,,,
Sat 16 Mar 2019,15,0,21,13,,29,0,103,926,,,
Sun 17 Mar 2019,7,0,17,20,,40,0,79,924,,,
Mon 18 Mar 2019,61,0,76,45,,130,0,207,1375,,,
