Date,1^ALEX,2^ORPY,3^COBY,4^CRTZ,5^LMET,10^OGLD,11 OBVW,12a^ADAWE,12b^ADAWE
Wed 1 Jan 2020,,,,49,29,31,3,68,842
Thu 2 Jan 2020,,,,91,242,64,17,182,939
Fri 3 Jan 2020,,,,128,259,88,10,176,988
Sat 4 Jan 2020,,,,69,109,20,4,105,737
Sun 5 Jan 2020,,,,44,59,24,10,78,783
Mon 6 Jan 2020,,,,163,348,116,20,208,1007
Tue 7 Jan 2020,,,,140,396,126,20,265,1358
Wed 8 Jan 2020,,,,139,382,112,18,212,1060
Thu 9 Jan 2020,,,,112,370,92,13,200,923
Fri 10 Jan 2020,,,,148,372,100,21,242,1154
Sat 11 Jan 2020,,,,16,36,17,0,59,399
Sun 12 Jan 2020,,,,23,47,14,7,70,444
Mon 13 Jan 2020,,,,119,352,102,22,168,1110
Tue 14 Jan 2020,,,,133,369,90,26,224,1216
Wed 15 Jan 2020,,,,106,371,111,15,241,1475
Thu 16 Jan 2020,,,,82,350,88,12,172,1142
Fri 17 Jan 2020,,,,56,259,68,5,156,897
Sat 18 Jan 2020,,,,25,45,7,1,63,485
Sun 19 Jan 2020,,,,17,42,8,9,48,692
Mon 20 Jan 2020,,,,118,318,70,6,183,1028
Tue 21 Jan 2020,,,,138,359,96,4,210,1131
Wed 22 Jan 2020,,,,146,390,120,1,217,1308
Thu 23 Jan 2020,,,,140,465,117,1,233,1301
Fri 24 Jan 2020,,,,115,367,99,4,245,1195
Sat 25 Jan 2020,,,,26,54,26,3,85,703
Sun 26 Jan 2020,,,,19,36,17,0,70,623
Mon 27 Jan 2020,,,,132,376,97,0,230,1109
Tue 28 Jan 2020,,,,117,410,74,8,270,1263
Wed 29 Jan 2020,,,,101,386,95,0,219,1272
Thu 30 Jan 2020,,,,124,374,100,1,230,1170
Fri 31 Jan 2020,,,,97,333,95,0,207,1083
Sat 1 Feb 2020,,,,33,85,24,0,124,932
Sun 2 Feb 2020,,,,25,64,24,1,97,852
Mon 3 Feb 2020,,,,140,389,100,7,252,1269
Tue 4 Feb 2020,,,,154,416,114,0,252,1368
Wed 5 Feb 2020,,,,115,386,106,1,221,1225
Thu 6 Feb 2020,,,,101,318,67,1,215,1142
Fri 7 Feb 2020,,,,46,200,44,8,116,401
Sat 8 Feb 2020,,,,11,45,18,3,91,684
