X,Y,ID,Ottawa__Police_Division,Ottawa_Police_Sector,Report_Date,Incident_StartDate,Incident_EndDate,Weekday,Location_Type,Primary_Offence,ONS_Neighbourhood_2019,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Colour,Bicycle_Speed,X,Y,Census_Tract_Unique_ID,Census_Tract_Name,Object_ID,OBJECTID
363023.6811,5015825.44,1,West,16,2-Aug-15,2-Aug-15,2-Aug-15,1,,THEFT<BICYCLE,Old Barrhaven West,Stolen,80,NEXT,UNKNOWN,REGULAR,UNISEX,Grey,0,363023.6811,5015825.44,5050140.07,140.07,1,0
362414.6759,5014626.428,2,West,16,24-Aug-15,23-Aug-15,24-Aug-15,1,,THEFT<FRM VEHICL,Old Barrhaven West,Stolen,1000,SCHWINN,UNKNOWN,MOUNTAIN,MEN'S,"Black, Orange",21,362414.6759,5014626.428,5050140.04,140.04,2,1
363782.6879,5016896.451,3,West,16,25-Aug-15,31-Jul-15,1-Aug-15,6,,THEFT<BICYCLE,Old Barrhaven West,Stolen,200,FREAKSHOW,UNKNOWN,BMX,MEN'S,White,1,363782.6879,5016896.451,5050140.03,140.03,3,2
361526.046,5014725.228,4,West,16,19-Sep-15,18-Sep-15,,6,,THEFT<BICYCLE,Old Barrhaven West,Stolen,600,OPUS,UNKNOWN,HYBRID,WOMEN'S,Dark Blue,18,361526.046,5014725.228,5050141.15,141.15,4,3
362697.6789,5015449.436,5,West,16,16-Nov-15,13-Nov-15,16-Nov-15,6,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,150,CCM,RACER,RACER,UNISEX,"Silver, Aluminum, Stainless Steel",10,362697.6789,5015449.436,5050140.07,140.07,5,4
362485.6781,5015756.439,6,West,16,18-May-16,18-May-16,18-May-16,4,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,420,GIANT,REVEL 3,MOUNTAIN,MEN'S,Black,,362485.6781,5015756.439,5050140.07,140.07,6,5
362485.6781,5015756.439,7,West,16,28-Jun-16,28-Jun-16,28-Jun-16,3,Schools,THEFT<BICYCLE,Old Barrhaven West,Stolen,130,SUPERCYCLE,CLUTCH,BMX,CHILD'S,Other,1,362485.6781,5015756.439,5050140.07,140.07,7,6
363250.683,5016168.443,8,West,16,28-Jun-16,7-May-16,7-May-16,7,,THEFT<BICYCLE,Old Barrhaven West,Stolen,160,DECIBEL,REVERB,BMX,CHILD'S,Blue,1,363250.683,5016168.443,5050140.07,140.07,8,7
362802.6789,5015174.434,9,West,16,10-Jul-16,10-Jul-16,,1,,THEFT<BICYCLE,Old Barrhaven West,Recovered,,GT SLAMMER,UNKNOWN,BMX,CHILD'S,Brown,1,362802.6789,5015174.434,5050140.07,140.07,9,8
362942.68,5015191.434,10,West,16,2-Aug-16,31-Jul-16,1-Aug-16,1,,THEFT<BICYCLE,Old Barrhaven West,Lost,150,INFINITY,UNKNOWN,HYBRID,MEN'S,"Silver, Aluminum, Stainless Steel",21,362942.68,5015191.434,5050140.07,140.07,10,9
362321.6759,5015385.435,11,West,16,3-Aug-16,4-Jun-16,3-Aug-16,7,,THEFT<BICYCLE,Old Barrhaven West,Stolen,350,GT,POWER SERIES,BMX,MEN'S,Black,1,362321.6759,5015385.435,5050140.07,140.07,11,10
361516.6721,5015547.436,12,West,16,11-Aug-16,10-Aug-16,11-Aug-16,4,,THEFT<BICYCLE,Old Barrhaven West,Stolen,250,VAGABOND,WASAGA CRUISER,REGULAR,WOMEN'S,Green,6,361516.6721,5015547.436,5050140.06,140.06,12,11
361784.0789,5013956.141,13,West,16,23-Feb-17,3-Oct-16,30-Nov-16,2,,THEFT<BICYCLE,Old Barrhaven West,Stolen,125,UNKNOWN,UNKNOWN,HYBRID,UNISEX,Black,7,361784.0789,5013956.141,5050141.15,141.15,13,12
361474.671,5015252.433,14,West,16,11-Apr-17,10-Apr-17,10-Apr-17,2,,THEFT<BICYCLE,Old Barrhaven West,Recovered,349.99,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,Black,18,361474.671,5015252.433,5050141.15,141.15,14,13
362485.6781,5015756.439,15,West,16,11-Apr-17,11-Apr-17,11-Apr-17,3,Schools,THEFT<BICYCLE,Old Barrhaven West,Recovered,,CCM,UNKNOWN,REGULAR,MEN'S,Black,10,362485.6781,5015756.439,5050140.07,140.07,15,14
